 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[pe], ,High Gravity(EX),High Gravity,170,1:50,1222,中(+0.330±0.6)

[pe], ,Little Little Princess(EX),Little Little Princess,180～211,2:04,1350,中(-0.369±0.5)

[pe], ,MADSPEED狂信道(UPPER)(H),MADSPEED狂信道,240～300,1:50,1106,中(+0.048±0.6)

[pe], ,Popperz Chronicle(UPPER)(H),Popperz Chronicle,62〜402,2:14,1034,中(+0.151±0.7)

[pe], ,SESSION With You!(EX),SESSION With You!,180,1:54,1258,弱(-0.700±0.5)

[pe], ,SHION(VENUS mix)(EX),SHION(VENUS mix),190,2:16,1259,中(+0.218±0.6)

[pe], ,Six String Proof(EX),Six String Proof,130,1:45,1117,強(+0.786±0.5)

[pe], ,Welcome to pop'n fantasy(EX),Welcome to pop'n fantasy,180,2:00,1131,中(-0.318±0.6)

[解], ,浅見文彦の事件簿～迷宮荘のワンピース(EX),浅見文彦の事件簿～迷宮荘のワンピース,88～206, ,1115,中(-0.032±0.6)

[解], ,アンデスヒーリング(UPPER)(EX),ナスカの丘,63～124,2:11,1314,中(-0.200±0.6)

[解], ,ウソツキ横丁は雨模様(EX),ウソツキ横丁は雨模様,220, ,1231,強(+0.428±0.4)

[解], ,空想モダニズム -Alice Schach remix-(EX),空想モダニズム -Alice Schach remix-,187, ,1151,中(+0.374±0.5)

[解], ,黒き螺旋のクレイドル(EX),黒き螺旋のクレイドル,190, ,1263,中(-0.219±0.5)

[解], ,結果オーライ！相性チェック(EX),結果オーライ！相性チェック,186, ,1194,逆詐称(-1.088±0.2)

[解], ,コルドバの女(EX),コルドバの女,142, ,1044,中(+0.123±0.5)

[解], ,超中華流行歌曲(UPPER)(EX),桃花恋情,185,2:01,1296,弱(-0.708±0.4)

[解], ,霽れと褻と穢れ(EX),霽れと褻と穢れ,136, ,1219,弱(-0.726±0.5)

[解], ,表裏一体！？怪盗いいんちょの悩み♥(EX),表裏一体！？怪盗いいんちょの悩み♥,165,2:08,1309,中(+0.385±0.5)

[解], ,ブルーローズイノセンス(EX),ブルーローズイノセンス,145, ,1150,中(+0.000±0.5)

[解], ,ホピタスコピラ(EX),ホピタスコピラ,192, ,1175,強(+0.648±0.4)

[解], ,恋愛観測 -Rock Band Ver.-(EX),恋愛観測 -Rock Band Ver.-,188, ,1202,中(-0.400±0.4)

[解], ,Amabie(EX),Amabie,168, ,1116,中(+0.042±0.5)

[解], ,Bolide(EX),Bolide,130, ,1175,中(+0.171±0.6)

[解],[版],Butter-FLY(UPPER)(EX),Butter-FLY,165,1:59,1397,中(-0.177±0.6)

[解],[版],GET WILD(UPPER)(EX),GET WILD,150,1:58,1275,中(-0.200±0.5)

[解],[版],GO²TOS(EX),GO²TOS,150, ,1066,逆詐称(-1.100±0.3)

[解], ,Inside Insight(EX),Inside Insight,145, ,1146,弱(-0.672±0.4)

[解], ,paparazzi(EX),paparazzi,280, ,1084,弱(-0.538±0.5)

[解], ,Poppin' Soda(EX),Poppin' Soda,200, ,1296,弱(-0.609±0.6)

[解], ,Red Cape Theorem(EX),Red Cape Theorem,95, ,1088,中(-0.015±0.7)

[解], ,say...but in vain(EX),say…but in vain,90～180, ,1106,強(+0.512±0.4)

[解], ,Shades of Day(EX),Shades of Day,190, ,1210,中(+0.000±0.4)

[UL], ,グランデーロの守り(EX),グランデーロの守り,152, ,1094,強(+0.410±0.6)

[UL], ,恋とメロンとキューピット(EX),恋とメロンとキューピット,162, ,1169,弱(-0.892±0.4)

[UL],[版],残酷な天使のテーゼ(UPPER)(EX),残酷な天使のテーゼ,79～128,1:35,868,中(-0.222±0.6)

[UL], ,蒼氷のフラグメント(EX),蒼氷のフラグメント,130, ,975,中(+0.065±0.5)

[UL], ,東京メモリー(EX),東京メモリー,152, ,1200,中(-0.216±0.5)

[UL], ,ノープラン・デイズ(EX),ノープラン・デイズ,210, ,1235,中(+0.322±0.5)

[UL], ,パーフェクトイーター(EX),パーフェクトイーター,175, ,1329,弱(-0.580±0.5)

[UL], ,ホムンクルスレシピ(EX),ホムンクルスレシピ,150, ,1184,中(-0.098±0.4)

[UL],[版],無意識のフィロソフィア(EX),無意識のフィロソフィア,160, ,1275,中(-0.182±0.4)

[UL], ,斑咲花(EX),斑咲花,134～201, ,1264,中(+0.251±0.5)

[UL], ,勇猛無比(EX),勇猛無比,201, ,1268,中(+0.000±0.6)

[UL], ,ラブケミ(EX),ラブケミ,121, ,1272,中(+0.205±0.6)

[UL], ,リナリア(EX),リナリア,182, ,1077,強(+0.696±0.4)

[UL], ,001 -どうしんのかいろ-(EX),001 -どうしんのかいろ-,134～190, ,1161,中(+0.171±0.5)

[UL], ,Candy Crime Toe Shoes(H),Candy Crime Toe Shoes,72～202, ,1013,強(+0.490±0.5)

[UL], ,Engraved on my heart ft. 小林マナ(EX),Engraved on my heart ft. 小林マナ,146, ,1190,中(-0.140±0.4)

[UL], ,HAGURUMA(EX),HAGURUMA,100～174, ,1273,中(-0.176±0.5)

[UL], ,High Speed Junkie!(EX),High Speed Junkie!,175～185, ,1164,中(-0.389±0.6)

[UL], ,Lovin' You(EX),Lovin' You,176, ,1333, 

[UL], ,mathematical good-bye(EX),mathematical good-bye,182, ,1300,中(-0.242±0.5)

[UL], ,MA・TSU・RI(EX),MA・TSU・RI,160, ,1286,中(-0.167±0.5)

[UL],[版],Pure Rude(EX),Pure Rude,175, ,1202,弱(-0.611±0.4)

[UL], ,Sword of Vengeance(EX),Sword of Vengeance,208, ,1298,中(-0.247±0.6)

[CS8], ,ケシゴム(EX),School Life,77～155,2:00,942,強(+0.796±0.6)

[CS11], ,コンテンポラリーネイション2(EX),サヨナラ・ヘヴン,111,2:01,1270,中(-0.289±0.6)

[CS14], ,ファンクフィーバー(EX),World Spider Web,134,2:11,1261,強(+0.728±0.5)

[CSBest], ,スクリーン(H),GALAXY FOREST 11.6&12,379,1:29,518,強(+0.593±0.7)

[PMP], ,グリーニング(EX),Greening,146,2:05,1280,中(-0.086±0.7)

[PMP], ,ポータブルポップ(EX),Ensamble Forecast 3/28,212,1:50,1159,弱(-0.657±0.6)

[PMP2], ,スペースポップ(EX),μ9,180,1:51,1287,強(+0.466±0.5)

[ee], ,トランス(EX),Colors,150,1:57,1068,中(-0.067±0.7)

[ee2], ,ハイパーJロック(EX),brave!,180,1:37,1044,弱(-0.699±0.6)

[ee2], ,JV-ROCK(EX),洟・月・奇蹟,170,1:39,905,弱(-0.416±0.6)

